,X(3872)/0,X(3872)/1,X(3915)(0-)/0,chi(c2)(3930)/0,X(3940)(1+)/0,X(3940)(1+)/1,X(3993)/0,X(3993)/1,Psi(4040)/0,X(4300)/0,X(4300)/1,NR(0-)SPp/0,NR(1+)PSp/0,NR(0-)SPm/0,NR(1-)PPm/0,X0(2900)/0,X1(2900)/0,X1(2900)/1,X1(2900)/2
X(3872)/0,0.12394851733566674,,,,,,,,,,,,,,,,,,
X(3872)/1,3.7219538438602444e-05,0.029388701289876414,,,,,,,,,,,,,,,,,
X(3915)(0-)/0,0.0009784616830916923,0.0006622826979442696,0.13923618829967882,,,,,,,,,,,,,,,,
chi(c2)(3930)/0,2.9685869233433574e-05,2.54909838906155e-05,0.0008047862798465638,0.009501676621000049,,,,,,,,,,,,,,,
X(3940)(1+)/0,0.0234995436416977,2.0819419620831536e-05,0.0012984219691490524,5.182168624154807e-06,0.02251774701206124,,,,,,,,,,,,,,
X(3940)(1+)/1,4.04585848049953e-05,0.025893976175268126,0.0007095246107990485,1.2940342532494317e-05,3.0922614752547634e-05,0.03907954467326513,,,,,,,,,,,,,
X(3993)/0,0.010896716981552182,0.0001586298709817147,0.0015067135146399158,1.5481440757903377e-05,0.041225065059668727,0.00020738161962459645,0.0838700120065017,,,,,,,,,,,,
X(3993)/1,0.00018310723953592488,0.03236994376052409,0.0010339380864435072,7.316608839489833e-05,0.000171623686885454,0.03597513138030084,0.0003183408097952871,0.10000058788009401,,,,,,,,,,,
Psi(4040)/0,3.1235233879767964e-05,2.6187635625507884e-05,0.0004300124180121557,8.153338603521642e-06,2.4192622153302365e-05,2.9260068700703398e-05,5.326319485939425e-05,8.285441621827231e-05,0.011687473404787855,,,,,,,,,,
X(4300)/0,0.008556344006804936,7.38820544349128e-05,9.667892951468665e-05,2.95431113545062e-06,0.01287560460941864,6.751335527991839e-05,0.003580406324240159,2.8940468016281275e-05,3.7157086978436007e-06,0.023577282270269437,,,,,,,,,
X(4300)/1,1.0077757147760154e-05,0.01652824581541019,3.773796162327615e-05,3.9438962860470975e-06,3.256375744810646e-05,0.023350603135539435,1.1074982936504925e-05,0.003500807377272234,5.107289097529208e-06,0.0002041724192037629,0.023279715894276985,,,,,,,,
NR(0-)SPp/0,0.00017660993290331288,0.00013767483223620002,0.09987131319226293,2.0941985198903512e-05,0.00014250569168529795,6.740192606150362e-05,0.00017745022578007042,0.00015204596522882196,2.9265467996808795e-05,4.820685387337158e-05,2.2300495888575357e-05,0.18179278759945092,,,,,,,
NR(1+)PSp/0,0.10764355228169158,1.9951557424138233e-05,0.00028275167016531086,1.6159041156499357e-05,0.019767739434813674,4.102528684432128e-05,0.028606608087384064,0.0001633499924086898,1.4489012122545448e-05,0.008580521844110775,2.201501884808876e-05,0.00028118405125458204,0.07246714365427631,,,,,,
NR(0-)SPm/0,6.091825946599737e-05,2.2451399543525634e-05,0.017941762901386382,3.844305847157013e-06,1.8901711879729028e-05,1.8253505155140628e-05,3.7889891598161996e-05,2.6738644373126215e-05,2.69392512544496e-06,5.996140835587433e-06,8.120148412707283e-06,0.05416693541952234,0.00010713121539877476,0.011982089097447288,,,,,
NR(1-)PPm/0,4.8248183043343384e-05,7.443379125298227e-05,0.0008495135093661352,1.3078699422659965e-05,2.0857980996589256e-05,5.4618487810020315e-05,7.259671250872683e-05,6.341689939568715e-05,0.011677643065815344,4.982374180602198e-05,4.5080929209970337e-05,6.814457033964857e-05,6.267095831297604e-06,1.4717466343897958e-05,0.08500773285509876,,,,
X0(2900)/0,0.008558490010490607,0.0038045720012424623,0.018712678177346533,1.481051216493538e-05,0.002910500619201835,0.0025010056668939417,0.0023622794332343526,0.006349833043163947,2.645413823039683e-05,0.0008429862880559385,0.001169401887457118,0.025662787218186413,0.005520415398396459,0.0013003973261953043,4.207307567175087e-05,0.06364511496309885,,,
X1(2900)/0,0.01068938675126124,0.0007009777861715066,0.0009764554098591816,1.5336968275314326e-06,0.0014751350076716576,0.00034026538356606673,0.0018073993009983169,0.00047492403764144627,1.4482620608505797e-06,0.00041347549345444214,0.00024741873698056204,0.002660938476368276,0.015076043484545007,0.001616364237307032,3.329798684362649e-06,2.4085607397069606e-05,0.004160817406569305,,
X1(2900)/1,1.5932861609398312e-06,1.0259787302027979e-05,2.9762584581614375e-05,0.0005794188043670648,2.789774091290615e-06,5.840572039127866e-06,2.23305941256415e-06,1.6055912412038814e-05,0.0007077524520036746,6.595328173583964e-06,6.834900992603448e-06,6.970653364975684e-06,1.7110356149441273e-06,2.4532164175057776e-06,0.00913064077939208,6.46478258253037e-06,1.275994524035726e-06,0.0009320363315263796,
X1(2900)/2,0.009584904868363435,0.01904693614297399,0.013017793129678663,1.5551393049850615e-05,0.0014280809795374876,0.01506213870655744,0.0014119204788724403,0.009355803482540705,1.8707367398278672e-05,0.0005794110923577395,0.0038189700955498307,0.0038552545682670357,0.0007546099545120973,0.0016087030373674333,9.547241031960458e-05,7.268196541964565e-05,5.482456127957702e-05,2.3299064147608678e-05,0.019192445284291242
